loan_id,customer_id,loan_product_id,loan_status_id,loan_status,principal_amount,interest_rate,term_months,disbursement_date,customer_age,gender_id,customer_status_id,employment_status_id,industry_id,annual_income,loan_to_income,payments_cnt,late_cnt,late_fee_sum,avg_delay_days,is_overdue
51,147,1,3,ACTIVE,657866.54,16.3791,48,2025-09-08,39,2,1,1,2.0,4760129.4,0.1382034992578143,3,1,1193.26,16.0,1
52,152,2,3,ACTIVE,3957535.22,10.6905,240,2025-06-28,54,2,2,1,11.0,6583786.2,0.6011032405639175,6,1,1931.87,19.0,1
53,154,1,3,ACTIVE,416227.24,22.5411,12,2025-09-12,34,2,1,1,4.0,1469429.88,0.2832576400311119,3,1,555.16,11.0,1
54,156,1,3,ACTIVE,247097.59,21.2969,12,2025-10-04,50,2,1,1,1.0,3684437.64,0.06706521161259225,2,0,0.0,,0
55,160,1,3,ACTIVE,153663.95,18.1518,60,2025-09-20,29,2,2,1,2.0,1873686.96,0.08201153836284371,3,0,0.0,,0
56,165,2,3,ACTIVE,7226945.47,13.1148,240,2025-10-04,30,2,1,1,1.0,865151.28,8.353389328627012,2,0,0.0,,0
57,168,1,3,ACTIVE,558810.64,23.55,24,2025-07-16,47,1,1,1,6.0,2039221.2,0.2740313998304843,5,1,542.58,8.0,1
58,168,2,3,ACTIVE,5372822.39,12.9322,180,2025-08-06,47,1,1,1,6.0,2039221.2,2.634742317312119,4,0,0.0,,0
59,171,1,3,ACTIVE,1006914.66,16.6173,12,2025-05-14,47,2,1,1,1.0,2055674.88,0.48982194110383837,7,0,0.0,,0
61,180,1,3,ACTIVE,752772.4,18.1829,60,2025-06-01,49,2,1,2,4.0,1785391.32,0.42162880012209314,7,0,0.0,,0
63,189,2,3,ACTIVE,9863192.52,13.301,180,2025-02-13,49,2,1,1,8.0,1131789.6,8.714687358851858,10,1,988.96,14.0,1
64,192,1,3,ACTIVE,977968.46,22.0366,60,2025-03-25,60,1,1,1,11.0,1969119.6,0.4966526461876668,9,0,0.0,,0
65,198,1,3,ACTIVE,1010657.94,24.7085,24,2025-05-20,53,2,1,1,8.0,854012.4,1.1834230275813324,6,0,0.0,,0
66,212,1,3,ACTIVE,344421.74,18.0394,36,2025-10-20,63,2,1,2,2.0,3258753.72,0.10569124567044606,2,0,0.0,,0
68,217,1,3,ACTIVE,606559.14,16.1897,36,2025-09-18,63,1,1,2,4.0,1703761.08,0.3560118534929792,3,0,0.0,,0
69,224,1,3,ACTIVE,776830.92,16.1047,60,2025-05-18,38,2,2,2,10.0,3494786.64,0.22228278862826373,7,0,0.0,,0
71,229,2,3,ACTIVE,5353287.39,10.5459,180,2025-11-08,60,2,1,1,2.0,2184864.48,2.4501690786789667,1,0,0.0,,0
72,230,1,3,ACTIVE,584453.63,19.2502,48,2025-08-17,34,2,1,1,12.0,1488263.76,0.39270836642558576,4,1,1158.78,6.0,1
73,236,2,3,ACTIVE,5476855.82,11.8996,240,2025-09-14,24,2,1,1,4.0,1857123.6,2.949106790738107,3,0,0.0,,0
74,239,2,3,ACTIVE,9259083.25,12.3251,120,2025-03-28,47,2,1,1,5.0,1382763.84,6.69606984371243,9,0,0.0,,0
75,241,1,3,ACTIVE,309136.99,18.6656,36,2025-06-29,38,1,1,1,3.0,2286215.28,0.1352177954125125,6,0,0.0,,0
76,241,2,3,ACTIVE,2452663.09,12.385,240,2025-03-29,38,1,1,1,3.0,2286215.28,1.0728049591200353,9,0,0.0,,0
77,247,1,3,ACTIVE,965260.07,24.4374,36,2025-08-02,44,1,1,1,9.0,2197235.88,0.4393065299843911,4,0,0.0,,0
78,248,2,3,ACTIVE,7398950.71,11.2049,240,2025-10-17,29,1,1,1,7.0,2068355.52,3.5772141870465286,1,0,0.0,,0
79,249,1,3,ACTIVE,464308.1,21.3872,36,2025-10-14,51,2,1,1,9.0,905423.52,0.5128076416658582,2,0,0.0,,0
80,249,2,3,ACTIVE,5550793.45,12.1004,300,2025-11-19,51,2,1,1,9.0,905423.52,6.130604438020342,1,0,0.0,,0
81,252,2,3,ACTIVE,6187095.78,14.2556,180,2025-09-18,40,1,1,1,9.0,2189598.84,2.8256754922285214,2,0,0.0,,0
82,255,1,3,ACTIVE,1049427.3,16.7471,36,2025-06-24,45,1,1,1,2.0,2540089.56,0.41314578687532577,6,0,0.0,,0
83,256,1,3,ACTIVE,650931.34,16.1181,12,2025-03-22,27,2,1,1,7.0,2175409.56,0.29922243239567264,9,0,0.0,,0
84,260,1,3,ACTIVE,589235.81,20.1852,12,2025-08-25,46,1,1,1,7.0,2474794.2,0.2380948726968893,4,0,0.0,,0
85,262,1,3,ACTIVE,413361.57,19.7119,60,2025-04-27,36,1,1,1,12.0,1778929.44,0.23236535452468537,8,0,0.0,,0
86,263,2,3,ACTIVE,9198138.24,11.4397,300,2025-10-19,39,2,1,1,5.0,3598210.2,2.5563093117795064,2,0,0.0,,0
87,264,1,3,ACTIVE,346628.27,18.3634,24,2025-07-26,43,2,1,1,5.0,1282836.72,0.2702045120753949,5,0,0.0,,0
88,264,2,3,ACTIVE,7626431.9,14.8074,180,2025-09-02,43,2,1,1,5.0,1282836.72,5.94497474316139,3,0,0.0,,0
89,265,1,3,ACTIVE,883100.43,21.5073,36,2025-04-25,52,2,1,1,6.0,1221739.68,0.72282209087291,8,1,1787.11,20.0,1
90,266,1,3,ACTIVE,1054061.48,21.3915,12,2025-03-23,45,2,1,1,9.0,2832166.32,0.3721749928867172,9,0,0.0,,0
92,273,1,3,ACTIVE,755058.9,17.8423,60,2025-12-01,40,2,1,1,3.0,1806749.64,0.41791008742085595,1,0,0.0,,0
93,279,1,3,ACTIVE,824581.47,23.6664,24,2025-09-19,45,2,1,1,8.0,2038305.84,0.40454256364197044,3,0,0.0,,0
94,279,2,3,ACTIVE,7997983.41,11.1998,240,2025-10-14,45,2,1,1,8.0,2038305.84,3.923838735604074,2,0,0.0,,0
96,286,2,3,ACTIVE,8880677.4,13.7757,180,2025-07-25,55,2,1,1,3.0,5723690.4,1.5515649483766627,5,0,0.0,,0
97,290,2,3,ACTIVE,8993662.39,14.4861,120,2025-05-18,41,1,1,1,6.0,1415400.84,6.354145155092603,7,0,0.0,,0
98,291,1,3,ACTIVE,606353.31,21.2288,24,2025-11-09,33,1,1,1,10.0,2440836.72,0.24842026712872461,1,0,0.0,,0
99,293,1,3,ACTIVE,370841.81,24.3528,24,2025-08-08,34,1,1,2,1.0,2354267.52,0.1575189764330606,4,0,0.0,,0
100,295,2,3,ACTIVE,5744371.28,10.9071,180,2025-04-28,39,1,1,1,1.0,2897355.36,1.9826257280363428,8,0,0.0,,0
101,297,1,3,ACTIVE,1235149.31,18.366,36,2025-04-27,55,1,1,2,7.0,3438500.16,0.35921164825538354,7,0,0.0,,0
102,298,1,3,ACTIVE,1072492.96,17.857,24,2025-02-20,54,1,1,1,2.0,2848257.36,0.37654355784759563,10,0,0.0,,0
103,301,2,3,ACTIVE,6624612.64,12.3938,120,2025-08-03,58,2,1,1,10.0,4533282.12,1.4613281204744435,3,0,0.0,,0
105,304,1,3,ACTIVE,235072.17,18.0902,48,2025-09-12,26,1,2,1,12.0,953356.32,0.24657325395398857,3,0,0.0,,0
106,310,1,3,ACTIVE,866879.42,20.058,12,2025-05-24,47,2,1,1,8.0,1872520.08,0.4629479967979836,7,0,0.0,,0
107,310,2,3,ACTIVE,6828042.21,10.3697,120,2025-04-28,47,2,1,1,8.0,1872520.08,3.646445388185103,8,0,0.0,,0
108,319,1,3,ACTIVE,308648.08,22.0187,24,2025-10-06,44,2,1,2,5.0,2243855.88,0.13755254192172092,2,0,0.0,,0
110,321,2,3,ACTIVE,5713698.78,12.3397,120,2025-05-13,25,1,1,1,7.0,1056351.72,5.408898070426771,7,0,0.0,,0
111,328,1,3,ACTIVE,1324380.41,19.0218,12,2025-10-06,34,1,1,2,10.0,1349625.12,0.9812950206498824,2,0,0.0,,0
114,343,1,3,ACTIVE,269773.79,21.9672,12,2025-07-18,22,1,1,3,,447262.68,0.6031663316957274,5,0,0.0,,0
115,344,1,3,ACTIVE,446012.69,19.8607,48,2025-06-18,35,1,1,1,9.0,2042715.96,0.2183429800000192,6,0,0.0,,0
116,344,2,3,ACTIVE,3763786.01,13.39,240,2025-03-30,35,1,1,1,9.0,2042715.96,1.8425400710140827,9,0,0.0,,0
117,347,2,3,ACTIVE,7348899.64,14.3908,300,2025-08-12,48,2,1,1,8.0,3679493.64,1.9972584162422957,4,0,0.0,,0
118,350,1,3,ACTIVE,471831.78,21.4992,36,2025-09-14,54,2,1,2,2.0,1461235.68,0.322899164356567,3,0,0.0,,0
119,352,2,3,ACTIVE,9727036.18,14.71,300,2025-05-07,42,2,1,1,11.0,3052821.96,3.1862441725884336,7,1,606.77,5.0,1
120,354,2,3,ACTIVE,5263570.17,10.648,180,2025-09-25,40,1,1,1,9.0,1311803.16,4.012469500378395,3,0,0.0,,0
122,360,2,3,ACTIVE,9328939.09,11.3658,180,2025-08-04,43,2,1,1,7.0,1481793.36,6.295708525782569,4,0,0.0,,0
123,365,1,3,ACTIVE,737878.73,16.8601,12,2025-06-08,65,1,1,1,12.0,2658513.0,0.27755317728369205,5,0,0.0,,0
124,367,1,3,ACTIVE,667836.72,18.1008,36,2025-10-16,29,1,1,1,6.0,1907829.72,0.3500504856376805,2,0,0.0,,0
126,370,1,3,ACTIVE,1495189.44,19.7332,48,2025-07-10,51,2,1,2,12.0,2461236.84,0.6074951486586719,4,0,0.0,,0
127,387,1,3,ACTIVE,140503.94,21.9364,48,2025-06-14,30,1,1,1,10.0,1070599.2,0.1312385998420324,6,1,1486.14,20.0,1
128,392,1,3,ACTIVE,262442.78,21.2413,36,2025-03-24,27,2,1,1,5.0,908517.12,0.2888693831107993,8,0,0.0,,0
129,395,1,3,ACTIVE,420822.66,18.8597,24,2025-04-23,23,1,1,3,,337099.32,1.2483640133121598,8,0,0.0,,0
130,399,1,3,ACTIVE,833793.84,22.3764,36,2025-02-16,31,1,1,1,10.0,1099130.52,0.7585940202988813,8,0,0.0,,0
131,401,1,3,ACTIVE,605892.4,17.557,12,2025-06-07,61,2,1,1,5.0,2016259.92,0.30050312164118204,6,1,1193.4,3.0,1
132,402,1,3,ACTIVE,287948.47,21.6997,60,2025-08-25,61,1,1,1,2.0,1870775.16,0.15391933576881575,4,0,0.0,,0
133,407,2,3,ACTIVE,5289974.21,11.3663,300,2025-01-26,54,2,1,1,9.0,1776971.52,2.9769606042982613,11,0,0.0,,0
136,421,1,3,ACTIVE,153713.1,19.413,24,2025-07-05,24,2,1,1,5.0,1681887.12,0.09139323214509187,5,0,0.0,,0
137,423,1,3,ACTIVE,208222.71,21.9915,48,2025-10-01,47,1,1,2,12.0,747604.2,0.27851998423764873,3,0,0.0,,0
138,427,1,3,ACTIVE,523885.16,22.1737,12,2025-05-26,24,2,1,1,10.0,2865172.8,0.18284592119539875,7,1,1428.66,5.0,1
140,436,2,3,ACTIVE,6976124.88,13.1017,120,2025-03-20,35,2,1,1,12.0,4057662.96,1.719247002220214,8,0,0.0,,0
141,442,1,3,ACTIVE,750201.45,21.4647,12,2025-04-13,41,2,1,1,1.0,7147481.52,0.10496025039040605,8,0,0.0,,0
142,449,2,3,ACTIVE,7830625.17,11.5903,120,2025-02-15,59,2,1,1,9.0,2253996.6,3.4741069130272866,10,0,0.0,,0
143,450,1,3,ACTIVE,1464816.01,22.2281,12,2025-09-28,51,1,1,1,5.0,4499235.6,0.32556997237486296,3,0,0.0,,0
144,462,1,3,ACTIVE,121473.87,22.3115,36,2025-09-10,71,1,1,4,,672158.76,0.1807219919294067,3,0,0.0,,0
145,463,2,3,ACTIVE,9941972.32,12.5572,240,2025-11-09,61,2,1,1,5.0,2051934.48,4.845170455929957,1,0,0.0,,0
146,468,2,3,ACTIVE,8255393.85,10.1325,300,2025-07-08,57,2,1,1,7.0,5480213.4,1.506400070114058,5,0,0.0,,0
147,469,1,3,ACTIVE,371385.19,17.4817,60,2025-09-11,50,2,1,1,4.0,2109822.0,0.1760267880418348,3,0,0.0,,0
148,469,2,3,ACTIVE,5847417.34,10.0139,240,2025-09-19,50,2,1,1,4.0,2109822.0,2.7715216449539346,3,0,0.0,,0
149,470,1,3,ACTIVE,194699.23,19.6156,24,2025-07-01,19,1,1,3,,430265.16,0.4525098662415521,6,0,0.0,,0
150,474,2,3,ACTIVE,7239063.21,11.2843,300,2025-11-04,33,2,1,1,2.0,1468373.76,4.929986769853474,1,0,0.0,,0
151,477,2,3,ACTIVE,9701337.24,10.0217,180,2025-03-19,43,1,1,1,2.0,5201379.6,1.8651469390928515,9,0,0.0,,0
152,478,1,3,ACTIVE,1068646.82,17.164,12,2025-06-26,49,1,1,1,1.0,1183855.44,0.9026835404836253,6,1,867.64,19.0,1
153,480,1,3,ACTIVE,713720.33,21.0374,36,2025-05-12,50,2,1,1,4.0,3040848.24,0.23471093381496735,7,1,407.23,17.0,1
155,489,1,3,ACTIVE,329774.31,22.3198,48,2025-10-18,36,2,1,1,5.0,2387935.56,0.13810017134633232,2,0,0.0,,0
156,491,2,3,ACTIVE,6331851.1,13.5965,300,2025-07-10,53,2,1,1,4.0,4227099.48,1.4979186390001873,5,0,0.0,,0
158,495,1,3,ACTIVE,128938.72,21.3311,24,2025-06-03,48,2,1,1,7.0,1884614.64,0.06841649070496449,6,0,0.0,,0
159,498,1,3,ACTIVE,326374.69,17.9,60,2025-10-03,62,2,1,1,11.0,1078168.32,0.3027121869060297,2,0,0.0,,0
160,500,1,3,ACTIVE,666395.64,19.0618,48,2025-07-26,27,2,1,1,6.0,1375409.76,0.4845069879393614,5,0,0.0,,0
161,506,1,3,ACTIVE,663532.9,24.3013,60,2025-04-24,56,1,1,1,5.0,1227273.24,0.5406562111628866,8,0,0.0,,0
162,506,2,3,ACTIVE,4023891.72,12.6617,120,2025-04-11,56,1,1,1,5.0,1227273.24,3.2787252168881316,8,1,392.47,11.0,1
163,507,1,3,ACTIVE,569781.36,21.3325,24,2025-04-26,61,2,1,1,9.0,1412811.24,0.40329616856672235,8,0,0.0,,0
164,507,2,3,ACTIVE,3478456.22,14.7707,300,2025-03-22,61,2,1,1,9.0,1412811.24,2.462081360564487,9,1,1727.9,8.0,1
166,511,1,3,ACTIVE,578752.56,17.1455,12,2025-07-09,35,1,1,1,8.0,2422938.84,0.23886387491316124,5,0,0.0,,0
167,513,2,3,ACTIVE,2544402.33,11.1495,120,2025-07-27,28,1,1,1,4.0,1193084.16,2.132626025309061,5,0,0.0,,0
168,515,1,3,ACTIVE,767224.12,24.9756,60,2025-10-19,35,1,1,1,2.0,1604892.24,0.4780533551585993,2,0,0.0,,0
169,519,2,3,ACTIVE,3552279.49,14.141,120,2025-06-25,38,1,1,1,7.0,6403481.04,0.5547419392374745,6,0,0.0,,0
170,520,2,3,ACTIVE,2603910.11,11.4321,180,2025-04-22,61,2,3,1,8.0,2159060.64,1.2060384325286946,7,0,0.0,,0
172,528,1,3,ACTIVE,993571.15,21.1537,12,2025-03-11,37,2,1,1,6.0,2844983.16,0.3492362148111977,9,1,1896.08,17.0,1
173,528,2,3,ACTIVE,7646739.12,10.2462,180,2025-04-04,37,2,1,1,6.0,2844983.16,2.687797673993965,8,0,0.0,,0
174,533,1,3,ACTIVE,934174.66,22.4399,36,2025-05-25,50,2,1,1,4.0,2437546.08,0.3832438974856221,7,0,0.0,,0
175,534,2,3,ACTIVE,3748302.02,14.4646,180,2025-03-20,58,2,1,1,4.0,1461250.68,2.565132780639664,9,1,733.43,5.0,1
176,538,2,3,ACTIVE,9832381.45,14.1068,240,2025-04-14,57,2,1,1,12.0,2223649.56,4.421731565472034,8,0,0.0,,0
177,539,2,3,ACTIVE,8407339.5,14.63,180,2025-07-08,65,2,1,2,6.0,3027569.4,2.776927095378887,5,2,2813.17,9.0,1
178,541,1,3,ACTIVE,1112484.53,19.9316,36,2025-05-01,38,2,1,2,9.0,3240288.6,0.34332884114087864,8,3,4947.54,9.0,1
179,542,2,3,ACTIVE,8677414.5,12.6395,300,2025-09-16,58,1,1,1,11.0,1511855.88,5.739577835950871,3,0,0.0,,0
182,550,2,3,ACTIVE,9884695.74,11.5625,300,2025-06-01,64,1,1,1,11.0,2029172.76,4.871293334333938,7,0,0.0,,0
183,552,1,3,ACTIVE,713842.04,17.5369,12,2025-05-19,61,1,1,2,10.0,0.0,,7,1,1762.11,3.0,1
184,558,1,3,ACTIVE,328636.35,21.5946,60,2025-07-08,40,1,1,1,10.0,1166104.8,0.28182402645113885,5,0,0.0,,0
185,558,2,3,ACTIVE,8958813.99,10.0939,180,2025-08-25,40,1,1,1,10.0,1166104.8,7.682683400325597,4,0,0.0,,0
186,564,1,3,ACTIVE,357799.74,24.0163,12,2025-05-08,25,2,1,1,8.0,2100234.96,0.17036176752338225,7,0,0.0,,0
187,573,1,3,ACTIVE,955000.48,17.7161,48,2025-03-09,27,2,1,1,8.0,1978659.72,0.482650185045461,8,2,2900.76,15.5,1
188,576,1,3,ACTIVE,668486.67,24.9582,36,2025-11-12,35,1,1,1,10.0,1218216.96,0.5487418842042718,1,0,0.0,,0
189,578,2,3,ACTIVE,9025032.2,14.4699,120,2025-04-09,48,1,1,1,3.0,4650910.32,1.9404872549767849,8,0,0.0,,0
191,585,1,3,ACTIVE,1314720.41,16.2868,60,2025-05-15,50,1,1,1,7.0,4699262.4,0.2797716531002823,7,0,0.0,,0
192,586,1,3,ACTIVE,356953.26,22.1024,48,2025-07-16,44,1,1,1,5.0,3156240.48,0.11309444329793274,5,1,1350.29,11.0,1
193,586,2,3,ACTIVE,5791256.68,10.2575,120,2025-05-05,44,1,1,1,5.0,3156240.48,1.8348591359553186,7,1,612.0,5.0,1
195,594,2,3,ACTIVE,2525643.01,14.3638,240,2025-11-19,26,2,1,1,5.0,1391347.44,1.8152496906164575,1,0,0.0,,0
196,597,1,3,ACTIVE,1025037.34,20.3183,36,2025-04-18,62,2,1,1,5.0,2317528.32,0.4422976544252111,7,1,640.03,17.0,1
197,600,2,3,ACTIVE,2824675.28,10.0712,300,2025-08-23,35,1,1,1,9.0,2380131.72,1.1867726715561775,4,0,0.0,,0
200,612,1,3,ACTIVE,849930.14,16.7919,12,2025-07-24,24,2,1,1,6.0,872181.36,0.9744878519302453,5,0,0.0,,0
201,617,1,3,ACTIVE,212612.79,18.5507,12,2025-06-05,38,1,1,1,1.0,4302605.4,0.04941489405465814,6,0,0.0,,0
202,619,2,3,ACTIVE,7122184.95,14.243,300,2025-02-25,58,1,1,2,4.0,1805166.12,3.945445724407901,9,0,0.0,,0
203,622,2,3,ACTIVE,9934551.6,14.178,120,2025-07-08,48,1,1,2,7.0,2164524.36,4.589715774785736,5,0,0.0,,0
204,628,1,3,ACTIVE,968975.15,22.327,36,2025-03-11,38,1,1,1,5.0,2419078.08,0.400555549657992,9,0,0.0,,0
205,635,1,3,ACTIVE,695101.76,23.5969,12,2025-01-27,55,1,1,1,2.0,2906898.48,0.23912144327792278,11,2,2241.2,7.5,1
206,637,1,3,ACTIVE,194344.08,16.616,24,2025-08-27,38,2,1,1,3.0,2222350.2,0.08744979976603147,4,0,0.0,,0
207,638,1,3,ACTIVE,801160.42,17.5967,36,2025-05-30,34,2,3,1,1.0,1372914.36,0.5835472651039938,7,0,0.0,,0
208,642,1,3,ACTIVE,1475565.87,19.0047,24,2025-06-08,33,1,2,1,11.0,3602092.2,0.40964133844214207,6,0,0.0,,0
209,643,1,3,ACTIVE,779441.79,20.4797,48,2025-07-08,56,1,1,1,8.0,1818374.76,0.4286474972848831,5,0,0.0,,0
210,645,1,3,ACTIVE,172986.27,19.2548,60,2025-11-12,19,2,1,3,,627763.2,0.27555974928125765,1,1,1094.25,15.0,1
211,646,2,3,ACTIVE,9821324.01,13.403,300,2025-04-30,31,2,1,1,12.0,2013742.68,4.8771494528784585,8,0,0.0,,0
213,652,2,3,ACTIVE,8212291.35,10.8066,240,2025-11-08,58,2,1,1,11.0,5488291.92,1.4963291803180907,1,0,0.0,,0
214,656,1,3,ACTIVE,268815.04,17.7337,12,2025-10-01,48,2,1,1,2.0,1825344.84,0.14726808551966541,3,0,0.0,,0
215,660,1,3,ACTIVE,929052.94,17.4449,12,2025-07-05,51,2,1,1,4.0,2212576.08,0.41989649458743133,5,0,0.0,,0
216,668,1,3,ACTIVE,611073.43,23.5668,48,2025-07-15,59,1,1,1,9.0,4584218.52,0.1332993676749947,5,0,0.0,,0
217,676,1,3,ACTIVE,983391.39,20.2285,60,2025-09-07,34,2,1,1,2.0,4149589.08,0.23698524625961276,3,0,0.0,,0
218,678,1,3,ACTIVE,888754.59,19.2007,60,2025-04-25,36,1,1,2,10.0,1303144.2,0.6820078622150948,8,1,666.17,12.0,1
219,679,1,3,ACTIVE,291663.75,23.897,60,2025-11-11,59,2,1,1,3.0,1939677.0,0.15036717453472923,1,0,0.0,,0
221,688,1,3,ACTIVE,784311.89,21.9996,36,2025-09-28,39,1,1,1,1.0,4724362.08,0.16601434790959121,3,0,0.0,,0
222,688,2,3,ACTIVE,8144908.94,12.1375,180,2025-10-16,39,1,1,1,1.0,4724362.08,1.7240230113776547,2,0,0.0,,0
224,694,1,3,ACTIVE,1336046.78,18.7966,12,2025-06-29,38,1,1,1,5.0,3151569.0,0.4239306770691043,6,0,0.0,,0
225,694,2,3,ACTIVE,7334981.6,14.8898,300,2025-07-05,38,1,1,1,5.0,3151569.0,2.3274063172978283,5,0,0.0,,0
227,698,1,3,ACTIVE,740967.23,24.0008,36,2025-06-04,37,2,1,1,3.0,1120751.16,0.66113447520322,6,1,1761.8,18.0,1
228,698,2,3,ACTIVE,9558324.57,14.6292,300,2025-06-22,37,2,1,1,3.0,1120751.16,8.52849848489115,6,1,1720.33,9.0,1
229,699,1,3,ACTIVE,1161805.31,24.8317,36,2025-08-04,63,1,1,1,3.0,2194945.32,0.5293094545061378,4,0,0.0,,0
